パッチバージョン,変更対象,変更概要,変更部分,変更前,変更後
patch13.1,レジェンド：強靭,バグ修正,,,ヴィエゴが「ホームガード」から歩きに移行する際のアニメーションの変化を修正
patch13.1,レジェンド：強靭,バグ修正,,,バードが「W - 回復の遺物」を2回連続で発動できることがあった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,ドクター・ムンドの「E - 野蛮な痛み」が、モンスターに対して本来よりも多くダメージを与えていた不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,ランダムミッドにおいて、カ・サンテが「R - オールアウト」を発動したあと、カメラがズームアウトしたまま固定されることがあった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,ブラウムが「W - ワシに任せとけ！」でアシストのクレジットを得られなかった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,ブラウムの「W - ワシに任せとけ！」の効果音がまったく再生されなかった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,アムムの「E - だだっこ」のデスの原因で、被ダメージによって短縮されたスキルのクールダウン量が表示されなかった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,アイテムショップにおいて、「イーブンシュラウド」のミシックアイテムのタグが表示されていなかった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,最初に入れ替わった場合に、「解放の魔導書」の「スマイト」がダメージを与えなかった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,モルデカイザーの「固有スキル - 無窮の闇」が、小型ジャングルモンスターに対するスキル使用で発動していた不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,リー・シンおよびヨネのスキルバーとデスの原因に、デバッグテキストが表示されていた不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,エコーの「W - パラレルトラップ」が、効果範囲内にいない敵をスタンさせることがあった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,カリスタが「グインソー レイジブレード」を装備していると、2体のチャンピオンを同時に通常攻撃できていた不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,シンドラが「W - ダークフォース」を使って、テレポート先になっているミニオンを捕まえて投げることができていた不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,カサディンの「E - ヴォイドパルス」がクールダウン中だった場合、「W - ネザーブレード」のクールダウンが短縮されていないにもかかわらず、短縮されているように見えていた不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,カサディンの「E - ヴォイドパルス」が発動可能になった際、その効果音が再生されなかった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,ハイマーディンガーの「H-28G革新砲」2基がオーバーラップして攻撃した場合、ジャングルモンスターのアグロが継続的にリセットされていた不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,「アイスボーン ガントレット」と「バミ シンダー」の「猛火」のエフェクトが、2つの個別のバフエフェクトを表示していた不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,アイデンティティーのカスタマイズ画面において、ドロップダウンのフィルターが正常に機能していなかった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,「壊れたストップウォッチ」を所持していると、ショップで「ゾーニャの砂時計」のレシピに「増魔の書」が購入済みとして表示されることがあった不具合を修正
patch13.1,レジェンド：強靭,バグ修正,,,ヴェックスの固有スキルのアイコンが、バフバーに表示されなかった不具合を修正
patch13.3,オレリオン・ソル,固有スキル - 宇宙の創造者,Q - 星炎の息吹,,Q - 星炎の息吹：Qの爆発が最大体力の（「星屑」スタック数の0.031%）%にあたる魔法ダメージを追加で与える
patch13.3,オレリオン・ソル,固有スキル - 宇宙の創造者,W - 天空への飛翔,,W - 天空への飛翔：「星屑」のスタック数に応じて移動距離が増加
patch13.3,オレリオン・ソル,固有スキル - 宇宙の創造者,E - 特異点,,E - 特異点：効果範囲が拡大し、とどめを刺せる体力割合の基準値が増加
patch13.3,オレリオン・ソル,固有スキル - 宇宙の創造者,R - 星の邂逅/崩れ落つ天穹,,R - 星の邂逅/崩れ落つ天穹：効果範囲が拡大
patch13.3,オレリオン・ソル,Q - 星炎の息吹,マナコスト,,マナコスト：毎秒45/50/55/60/65マナ
patch13.3,オレリオン・ソル,Q - 星炎の息吹,クールダウン,,クールダウン：3秒
patch13.3,オレリオン・ソル,Q - 星炎の息吹,スキルの説明全文,,スキルの説明全文：星炎を最大（3.25/3.25/3.25/3.25/9999）秒間吹き出して、最初に命中した敵に毎秒（15/25/35/45/55 + 30～90（チャンピオンレベルに応じて） + 魔力の60%）の魔法ダメージを与え、周囲の敵にはその50%のダメージを与える。同じ敵に星炎を当て続けると、1秒ごとに爆発を引き起こして（40/50/60/70/80 + 20～40(チャンピオンレベルに応じて） + 魔力の50%）の魔法ダメージ + 最大体力の（「星屑」スタック数の0.031%）%にあたる魔法ダメージを与え、さらに対象がチャンピオンだった場合は「星屑」を1個獲得する。このスキルの射程は750～920（チャンピオンレベルに応じて）。ジャングルモンスターに対する割合ダメージは、300の魔法ダメージが最大となる。
patch13.3,オレリオン・ソル,W - 天空への飛翔,マナコスト,,マナコスト：80/85/90/95/100マナ
patch13.3,オレリオン・ソル,W - 天空への飛翔,クールダウン,,クールダウン：22/20.5/19/17.5/16秒
patch13.3,オレリオン・ソル,W - 天空への飛翔,スキルの説明全文,,スキルの説明全文：指定方向に飛翔する。飛翔中、「星炎の息吹」はクールダウンと最大詠唱時間がなくなり、基本ダメージが14%/15.5%/17%/18.5%/20%増加する。自身がダメージを与えたチャンピオンから3秒以内にキルまたはアシストを獲得すると、このスキルのクールダウンが90%短縮される。飛翔中に「星炎の息吹」を発動すると、飛翔速度が50%低下する。飛翔速度は335 + 移動速度の100%。
patch13.3,オレリオン・ソル,E - 特異点,マナコスト,,マナコスト：60/70/80/90/100マナ
patch13.3,オレリオン・ソル,E - 特異点,クールダウン,,クールダウン：12/11.5/11/10.5/10秒
patch13.3,オレリオン・ソル,E - 特異点,スキルの説明全文,,スキルの説明全文：ブラックホールを5秒間召喚して、敵に（10/15/20/25/30 + 魔力の40%）の魔法ダメージを与え、その中心に向かって引き付ける。中心部にいる敵は体力が最大体力の（5 + 「星屑」スタック数の2.6%）%を下回っていると、即座に倒される。ブラックホールの範囲内で敵が倒されるたびに「星屑」を獲得する。また、範囲内に敵チャンピオンを捕らえている間も、毎秒「星屑」を獲得する。このスキルの射程は750～920（チャンピオンレベルに応じて）。範囲内にいるミニオンとジャングルモンスターは移動速度が0になる（このスキルの対象がチャンピオンだった場合、毎秒1個の「星屑」を獲得する。ブラックホール内で倒されたユニットから吸収する「星屑」：エピックモンスター：「星屑」10個、チャンピオンおよび大型モンスター：「星屑」5個、砲撃ミニオン：「星屑」3個、ミニオンおよび小型モンスター：「星屑」1個）。
patch13.3,オレリオン・ソル,R - 星の邂逅/崩れ落つ天穹：,マナコスト,,マナコスト：100マナ
patch13.3,オレリオン・ソル,R - 星の邂逅/崩れ落つ天穹：,クールダウン,,クールダウン：120/110/100秒
patch13.3,オレリオン・ソル,R - 星の邂逅/崩れ落つ天穹：,星の邂逅,,星の邂逅：天空から星をひとつ引き寄せ、地上に衝突させて（150/250/350 + 魔力の65%）の魔法ダメージを与え、敵を1.25秒間スタンさせる。また、命中したチャンピオン1体ごとに「星屑」を5個獲得する。
patch13.3,オレリオン・ソル,R - 星の邂逅/崩れ落つ天穹：,崩れ落つ天穹,,崩れ落つ天穹：「星屑」を75個集めると、次に使用する「星の邂逅」が「崩れ落つ天穹」に変化する。宇宙から激しい星の怒りを降らせて、広範囲に（187.5/312.5/437.5 + 魔力の81.25%）の魔法ダメージを与え、命中した敵を1.25秒間ノックアップさせる。さらに、巨大な衝撃波を発生させて、チャンピオンとエピックモンスターに（150/250/350 + 魔力の65%）の魔法ダメージを与え、命中したすべての敵に1秒間75%のスロウ効果を与える。
patch13.3,アムム,Q - 絡みつく包帯,マナコスト,：40/45/50/55/60,45/50/55/60/65
patch13.3,アムム,E - だだっこ,ダメージ,：80/110/140/170/200（+魔力の50%）,65/100/135/170/205（+魔力の50%）
patch13.3,アニー,固有スキル - 火遊びだいすき,最初の炎,,最初の炎：試合開始時および復活時に固有スキルのスタックが最大チャージされるように
patch13.3,アニー,E - モルテンシールド,シールド耐久値,：40/85/130/175/220（+魔力の35%）,60/100/140/180/220（+魔力の55%）
patch13.3,アニー,E - モルテンシールド,クールダウン,：14/13/12/11/10秒,12/11/10/9/8秒
patch13.3,アニー,E - モルテンシールド,反射魔法ダメージ,：20/30/40/50/60（+魔力の20%）,30/45/60/75/90（+魔力の40%）
patch13.3,アニー,E - モルテンシールド,反射魔法ダメージの発動条件,NEW：「モルテンシールド」が有効な間は、シールドに通常攻撃を命中させた敵に魔法ダメージを与える,「モルテンシールド」が有効な間は、シールドに通常攻撃またはスキルを命中させた敵に魔法ダメージを与える
patch13.3,アニー,E - モルテンシールド,反射魔法ダメージの制限,,NEW反射魔法ダメージの制限：「モルテンシールド」のダメージが1回のシールドにつき、各対象へ1度だけ発生するように（注：ティバーズの重複したシールドは新たなシールドとしてカウントされ、1回のシールドにつき各対象へ1度だけダメージを与えます）
patch13.3,アニー,R - やっちゃえ！ティバーズ,ティバーズの体力,：1300/2200/3100,1300/2200/3100（+魔力の75%）
patch13.3,アニー,R - やっちゃえ！ティバーズ,ティバーズの防御力,：30/60/90の物理防御と魔法防御,30/60/90（+魔力の5%）の物理防御と魔法防御
patch13.3,アニー,R - やっちゃえ！ティバーズ,ティバーズの移動速度,：スキルレベルにかかわらず350,350/375/400
patch13.3,ジャーヴァンⅣ,基本ステータス,基本物理防御,：34,36
patch13.3,ジャーヴァンⅣ,W - ゴールデンイージス,クールダウン,：9秒,8秒
patch13.3,ジャーヴァンⅣ,W - ゴールデンイージス,シールド耐久値,：60/80/100/120/140,60/80/100/120/140（+増加攻撃力の80%）
patch13.3,ジャーヴァンⅣ,W - ゴールデンイージス,シールド効果時間,：5秒,4秒
patch13.3,カ・サンテ,基本ステータス,レベルアップごとの体力,：108,114
patch13.3,カ・サンテ,Q - 破撃のエントーフォ,Q3のノックアップ効果時間,：1秒,0.65秒
patch13.3,カ・サンテ,Q - 破撃のエントーフォ,Q3のスタン効果時間,：1～1.25秒,1秒
patch13.3,カ・サンテ,W - 切り開く猛進,最小スタン効果時間,：0.35/0.45/0.55/0.65/0.75秒,0.3/0.35/0.4/0.45/0.5秒
patch13.3,カ・サンテ,R - オールアウト,防御力低下量,：増加防御力の65%,増加防御力の85%
patch13.3,カサディン,E - ヴォイドパルス,基本ダメージ,：80/105/130/155/180（+魔力の85%）,60/90/120/150/180（+魔力の85%）
patch13.3,カサディン,E - ヴォイドパルス,周囲でスキルが使用された際のクールダウン短縮量,：1秒,0.75秒
patch13.3,カサディン,R - リフトウォーク,魔法ダメージ,：80/100/120（+魔力の40%）（+最大マナの2%）,70/90/110（+魔力の40%）（+最大マナの2%）
patch13.3,カサディン,R - リフトウォーク,スタックごとの追加ダメージ,：40/50/60（+魔力の10%）（+最大マナの1%）,35/45/55（+魔力の10%）（+最大マナの1%）
patch13.3,ケイル,固有スキル - 聖なる上昇,「崇高」の増加移動速度,：8%,10%
patch13.3,ケイル,E - 星炎の刃,自動効果の通常攻撃時効果ダメージ,：15/20/25/30/35（+増加攻撃力の10%）（+魔力の20%）,15/20/25/30/35（+増加攻撃力の10%）（+魔力の25%）
patch13.3,ケイン,固有スキル - 緋眼の大鎌,「影の暗殺者」のボーナス,:チャンピオンにダメージを与えてから3秒間、チャンピオンに対して軽減前ダメージの13～40%（チャンピオンレベルに応じて）を再度魔法ダメージとして与える,チャンピオンにダメージを与えてから3秒間、チャンピオンに対して軽減前ダメージの15～45%（チャンピオンレベルに応じて）を再度魔法ダメージとして与える
patch13.3,ケイン,Q - 飛影斬,物理ダメージ,：75/95/115/135/155（+増加攻撃力の65%）,75/95/115/135/155（+増加攻撃力の80%）（注：ラーストのQには別の値が設定されているため、この変更はラーストのダメージには影響しません）
patch13.3,ルブラン,基本ステータス,マナ自動回復,：6,8
patch13.3,ルブラン,基本ステータス,レベルアップごとのマナ自動回復,：0.8,1
patch13.3,ルブラン,Q - シジルマリス,マナコスト,：50/55/60/65/70,スキルレベルにかかわらず50
patch13.3,ルブラン,R - 再演,クールダウン,：60/45/30秒,50/40/30秒
patch13.3,リー・シン,Q - 響掌/共鳴撃,「響掌」の物理ダメージ,：55/80/105/130/155（+増加攻撃力の100%）,55/80/105/130/155（+増加攻撃力の110%）
patch13.3,リー・シン,Q - 響掌/共鳴撃,「共鳴撃」の最小物理ダメージ,：55/80/105/130/155（+増加攻撃力の100%）,55/80/105/130/155（+増加攻撃力の110%）（注：最大ダメージはこれまでと同じく、最小ダメージの2倍です）
patch13.3,リー・シン,E - 破風/縛脚,合計ダメージ,：100/130/160/190/220（+増加攻撃力の100%）,35/65/95/125/155（+合計攻撃力の100%）
patch13.3,リー・シン,E - 破風/縛脚,スロウ効果,：20/30/40/50/60%,20/35/50/65/80%
patch13.3,トランドル,W - 凍てつく大地,クールダウン,：18/17/16/15/14秒,16/15/14/13/12秒
patch13.3,トランドル,重要な情報,お手並み拝見,,お手並み拝見：移動速度に応じて、ダンスの速度が上昇するように
patch13.3,ザック,W - スライムクラッシュ,魔法ダメージ,：35/50/65/80/95（+対象の最大体力の4/5/6/7/8%（+魔力100ごとに4%））,35/50/65/80/95（+対象の最大体力の4/5/6/7/8%（+魔力100ごとに3%））
patch13.3,ザック,E - ブッ飛びスライム,魔法ダメージ,：60/110/160/210/260（+魔力の90%）,60/105/150/195/240（+魔力の80%）
patch13.3,アリスター,固有スキル - 戦士の咆哮,自身への体力回復効果,：23～142（チャンピオンレベルに応じて）,最大体力の5%
patch13.3,アリスター,固有スキル - 戦士の咆哮,味方への体力回復効果,：46～284（チャンピオンレベルに応じて）,アリスターの最大体力の6%
patch13.3,アリスター,Q - 圧砕,マナコスト,：55/60/65/70/75,50/55/60/65/70
patch13.3,アリスター,Q - 圧砕,魔法ダメージ,：60/100/140/180/220（+魔力の50%）,60/100/140/180/220（+魔力の70%）
patch13.3,アリスター,W - 頭突き,マナコスト,：65/70/75/80/85,50/55/60/65/70
patch13.3,アリスター,W - 頭突き,魔法ダメージ,：55/110/165/220/275（+魔力の70%）,55/110/165/220/275（+魔力の90%）
patch13.3,アリスター,E - 踏破,マナコスト,：50/60/70/80/90,50/55/60/65/70
patch13.3,アリスター,E - 踏破,合計魔法ダメージ,：80/110/140/170/200（+魔力の40%）,80/110/140/170/200（+魔力の70%）
patch13.3,ブラウム,固有スキル - 漢の拳,対象のスタック無効時間,：8/6/4秒（チャンピオンレベル1/7/13）,8/6/4秒（チャンピオンレベル1/6/11）
patch13.3,ブラウム,Q - 冬の凍瘡,クールダウン,：10/9/8/7/6秒,8/7.5/7/6.5/6秒
patch13.3,ブラウム,W - ワシに任せとけ！,物理防御と魔法防御の増加量,：10/14/18/22/26,20/25/30/35/40
patch13.3,ノーチラス,固有スキル - 鉄の錨,追加ダメージ,：8～110（チャンピオンレベルに応じて）,14～116（チャンピオンレベルに応じて）
patch13.3,ノーチラス,W - 大海の激憤,マナコスト,：80,60
patch13.3,ノーチラス,W - 大海の激憤,シールド耐久値,：40/50/60/70/80（+最大体力の8/9/10/11/12%）,50/60/70/80/90（+最大体力の8/9/10/11/12%）
patch13.3,ノーチラス,E - 粉砕水,魔法ダメージ,：55/85/115/145/175（+魔力の30%）,55/90/125/160/195（+魔力の50%）
patch13.3,パイク,E - 亡者の引き波,物理ダメージ,：105/135/165/195/225（+増加攻撃力の100%）,105/145/185/225/265（+増加攻撃力の100%）
patch13.3,ラカン,Q - キラリ羽根,クールダウン,：12/11/10/9/8秒,11/10/9/8/7秒
patch13.3,ラカン,Q - キラリ羽根,マナコスト,：60,45
patch13.3,ラカン,Q - キラリ羽根,基本体力回復量,：30～115（チャンピオンレベルに応じて）（+魔力の55%）,40～210（チャンピオンレベルに応じて）（+魔力の55%）
patch13.3,ラカン,W - 華麗なる登場,魔法ダメージ,：70/125/180/235/290（+魔力の70%）,70/120/170/220/270（+魔力の80%）
patch13.3,スレッシュ,Q - 死の宣告,魔法ダメージ,：100/140/180/220/260（+魔力の50%）,100/145/190/235/280（+魔力の80%）（注：スレッシュの魔力反映率は魂1個あたり0.8ダメージと解釈できます。あなたが魔力スレッシュを選ぶなら話は別ですが…とはいえ、我が道を行ってください）
patch13.3,スレッシュ,W - 嘆きの魂灯,魂ごとのシールド量,：2,1.5
patch13.3,スレッシュ,E - 絶望の鎖,魔法ダメージ,：75/110/145/180/215（+魔力の40%,75/110/145/180/215（注：こちらも同じで、魂1個あたり0.6ダメージになります）
patch13.4,アーリ,基本ステータス,基本体力,：570,590
patch13.4,アーリ,基本ステータス,基本物理防御,：18,21
patch13.4,アーリ,R - スピリットラッシュ,クールダウン,：140/115/90秒,130/105/80秒
patch13.4,アリスター,固有スキル - 戦士の咆哮,味方への体力回復効果,：アリスターの最大体力の6%,アリスターの最大体力の7%（注：これはパッチ13.3前のチームメイトの回復量とほぼ同じです）
patch13.4,アリスター,Q - 圧砕,魔法ダメージ,：60/100/140/180/220（+魔力の70%）,60/100/140/180/220（+魔力の80%）
patch13.4,アリスター,W - 頭突き,魔法ダメージ,：55/110/165/220/275（+魔力の90%）,55/110/165/220/275（+魔力の100%）
patch13.4,アムム,基本ステータス,レベルアップごとの体力,：100,94
patch13.4,アムム,基本ステータス,レベルアップごとの物理防御,：4.2,4.0
patch13.4,アムム,W - めそめそ,ティックごとの魔法ダメージ,：6/8/10/12/14（+対象の最大体力の1/1.25/1.5/1.75/2%（+魔力100ごとに0.25%））,6/8/10/12/14（+対象の最大体力の1/1.15/1.3/1.45/1.6%（+魔力100ごとに0.25%））
patch13.4,アニビア,基本ステータス,レベルアップごとの体力,：96,92
patch13.4,アニビア,基本ステータス,レベルアップごとの物理防御,：5.2,4.9
patch13.4,アニー,基本ステータス,基本体力,：594,560
patch13.4,アニー,E - モルテンシールド,シールドの反射魔法ダメージ,：30/45/60/75/90（+魔力の40%）,25/35/45/55/65（+魔力の40%）
patch13.4,アニー,R - やっちゃえ ティバーズ,クールダウン,：120/100/80秒,130/115/100秒
patch13.4,アフェリオス,固有スキル - 殺す者と導く者（極められし武器）,増加攻撃速度,：7.5/15/22.5/30/37.5/45%,9/18/27/36/45/54%
patch13.4,アジール,基本ステータス,基本マナ,：480,380
patch13.4,アジール,基本ステータス,レベルアップごとのマナ,：21,36
patch13.4,アジール,W - 目覚めよ！,砂塵兵のリチャージ時間,：9/8.25/7.5/6.75/6秒,10/9/8/7/6秒
patch13.4,アジール,E - 流砂の衝撃,魔法ダメージ,：60/90/120/150/180（+魔力の40%）,60/100/140/180/220（+魔力の55%）
patch13.4,アジール,R - 皇帝の分砂嶺,魔法ダメージ,：175/325/475（+魔力の60%）,200/400/600（+魔力の75%）
patch13.4,チョ＝ガス,基本ステータス,レベルアップごとの物理防御,：4.7,5
patch13.4,チョ＝ガス,Q - ラプチャー,マナコスト,：60,50
patch13.4,チョ＝ガス,Q - ラプチャー,魔法ダメージ,：80/135/190/245/300（+魔力の100%）,80/140/200/260/320（+魔力の100%）
patch13.4,チョ＝ガス,W - スクリーム,マナコスト,：70/80/90/100/110,70/75/80/85/90
patch13.4,エリス,Q - 毒牙,魔法ダメージ,：70/105/140/175/210（+対象の減少体力の8%（+魔力100ごとに3%））,60/90/120/150/180（+対象の減少体力の8%（+魔力100ごとに3%））
patch13.4,エリス,R - 蜘蛛形態,幼体の魔法ダメージ,：10/15/20/25（チャンピオンレベル1/6/11/16）,8/14/20/26（チャンピオンレベル1/6/11/16）
patch13.4,ジャーヴァンⅣ,W - ゴールデンイージス,クールダウン,：8秒,9秒
patch13.4,ジャーヴァンⅣ,W - ゴールデンイージス,シールド耐久値,：60/80/100/120/140（+増加攻撃力の80%）,60/80/100/120/140（+増加攻撃力の70%）
patch13.4,ジャックス,基本ステータス,基本体力,：685,665
patch13.4,ジャックス,基本ステータス,レベルアップごとの体力,：99,100
patch13.4,ジャックス,E - カウンターストライク,全ダメージ,,NEW全ダメージ：通常攻撃を回避するとスキルの基本ダメージだけでなく、スキルの全ダメージが増加するように
patch13.4,ジャックス,E - カウンターストライク,最小魔法ダメージ,：55/85/115/145/175（+魔力の100%）（+対象の最大体力の4%）,55/85/115/145/175（+魔力の70%）（+対象の最大体力の4%）
patch13.4,ジャックス,E - カウンターストライク,最大魔法ダメージ,：110/170/230/290/350（+魔力の100%）（+対象の最大体力の4%）,110/170/230/290/350（+魔力の140%）（+対象の最大体力の8%）
patch13.4,ジャックス,R - ウェポングランドマスター,自動効果の通常攻撃時ダメージ,：80/120/160（+魔力の60%）,60/110/160（+魔力の60%）
patch13.4,ジャックス,R - ウェポングランドマスター,最初のチャンピオンに命中した際の増加物理防御,：25/45/65（+増加攻撃力の40%）,15/40/65（+増加攻撃力の40%）
patch13.4,ジャックス,R - ウェポングランドマスター,最初のチャンピオンに命中した際の増加魔法防御,：15/27/39（+増加攻撃力の24%）,9/24/39（+増加攻撃力の24%）
patch13.4,マルファイト,W - サンダークラップ,クールダウン,：12/11.5/11/10.5/10秒,10/9.5/9/8.5/8秒
patch13.4,マルファイト,W - サンダークラップ,強化通常攻撃の物理ダメージ,：30/45/60/75/90（+魔力の20%）（+物理防御の10%）,30/45/60/75/90（+魔力の20%）（+物理防御の15%）
patch13.4,マルファイト,W - サンダークラップ,扇状範囲の物理ダメージ,：15/25/35/45/55（+魔力の30%）（+物理防御の15%）,15/25/35/45/55（+魔力の30%）（+物理防御の20%）
patch13.4,マオカイ,Q - 茨打ち,魔法ダメージ,：70/120/170/220/270（+対象の最大体力の2/2.25/2.5/2.75/3%）（+魔力の40%）,70/120/170/220/270（+対象の最大体力の2/2.5/3/3.5/4%）（+魔力の40%）（注：全体で考えると約7%のダメージ増加になります）
patch13.4,マオカイ,E - 苗木投げ,クールダウン,：10秒,14秒
patch13.4,マオカイ,E - 苗木投げ,魔法ダメージ,：55/80/105/130/155（+増加体力の5%）（+魔力の35%）,50/75/100/125/150（+増加体力の5%）（+魔力の25%）（注：これまでと同様、苗木を茂みに配置するとダメージが2倍になります）
patch13.4,マオカイ,E - 苗木投げ,茂みで強化された苗木のスロウ効果,：45%（+増加体力100ごとに0.9%）（+魔力100ごとに4%）,45%（+増加体力100ごとに1%）（+魔力100ごとに1%）
patch13.4,オリアナ,基本ステータス,基本物理防御,：17,20
patch13.4,オリアナ,W - オーダー: 乱磁場,マナコスト,：70/75/80/85/90,60/65/70/75/80
patch13.4,リヴェン,固有スキル - ルーンブレード,増加攻撃力,：合計攻撃力の30/36/42/48/54/60%（チャンピオンレベル1/6/9/12/15/18）,30～60%（チャンピオンレベル1～18）（注：レベルアップごとに増加攻撃力の1.75%ずつ、均一に増加していくようになりました）
patch13.4,リヴェン,固有スキル - ルーンブレード,切り倒せ,,NEW切り倒せ：「ルーンブレード」の追加ダメージがタワーにも適用されるように（ただし、与えるダメージはこの追加ダメージの50%のみ）
patch13.4,リヴェン,固有スキル - ルーンブレード,スタックチェック,,NEWスタックチェック：固有スキルのスタックがリソースバーとして表示されるように（自分のみに表示）
patch13.4,サミーラ,固有スキル - デアデビルインパルス,増加移動速度,：1スタックごとに3.5%,1スタックごとに1/2/3/4%（チャンピオンレベル1/6/11/16）
patch13.4,サミーラ,R - インフェルノトリガー,ライフスティール適用率,：66.7%,50%
patch13.4,セナ,基本ステータス,攻撃速度反映率（増加攻撃速度100%ごとの攻撃速度）,：0.30,0.40
patch13.4,セナ,R - ドーニングシャドウ,物理ダメージ,：250/375/500（+増加攻撃力の100%）（+魔力の70%）,250/400/550（+増加攻撃力の115%）（+魔力の70%）
patch13.4,セナ,R - ドーニングシャドウ,クールダウン,：160/140/120秒,140/120/100秒
patch13.4,スレッシュ,Q - 死の宣告,魔法ダメージ,：100/145/190/235/280（+魔力の80%）,100/150/200/250/300（+魔力の90%）
patch13.4,スレッシュ,Q - 死の宣告,クールダウン,：19/17/15/13/11秒,19/16.5/14/11.5/9秒（注：以前と同様に「死の宣告」を命中させるとクールダウンが3秒短縮されます）
patch13.4,スレッシュ,W - 嘆きの魂灯,クールダウン,：22/20.5/19/17.5/16秒,21/20/19/18/17秒
patch13.4,スレッシュ,W - 嘆きの魂灯,基本シールド耐久値,：50/75/100/125/150,50/70/90/110/130
patch13.4,スレッシュ,E - 絶望の鎖,魔法ダメージ,：75/110/145/180/215（+魔力の60%）,75/115/155/195/235（+魔力の70%）
patch13.4,ウディア,基本ステータス,レベルアップごとの体力,：98,92
patch13.4,ウディア,基本ステータス,基本物理防御,：34,31
patch13.4,ウディア,Q - 野生の爪,通常攻撃時効果の追加物理ダメージ,：5/11/17/23/29/35（+増加攻撃力の30%）,5/11/17/23/29/35（+増加攻撃力の25%）
patch13.4,ウディア,R - 氷翼の嵐,増加スロウ効果,：25/28/31/34/37/40%,20/23/26/29/32/35%
patch13.4,ベイガー,Q - イーヴィルストライク,射程,：950,1050
patch13.4,ベイガー,W - ダークマター,射程,：900,950
patch13.4,ヴィエゴ,Q - 滅びの王剣,ハートを貫け,,NEWハートを貫け：Qの自動効果による通常攻撃時ダメージがクリティカル判定を持つように
patch13.4,ヴィエゴ,R - ハートブレイカー,物理ダメージ,：対象の減少体力の12/16/20%（+増加攻撃力100ごとに3%）,対象の減少体力の12/16/20%（+増加攻撃力100ごとに5%）
patch13.4,ドラン シールド,レリック シールド,基本体力自動回復,：25%,50%
patch13.4,ドラン シールド,ターゴンの盾,基本体力自動回復,：50%,75%
patch13.4,ドラン シールド,霊者の鎌,チャージ回復時間,：10秒,12秒
patch13.4,ドラン シールド,暗黒の刻の三日月鎌,チャージ回復時間,：10秒,12秒
patch13.4,ドラン シールド,スペルシーフ エッジ,マナ自動回復増加量,：50%,25%
patch13.4,ドラン シールド,スペルシーフ エッジ,チャージ回復時間,：10秒,12秒
patch13.4,ドラン シールド,フロストファング,マナ自動回復増加量,：75%,50%
patch13.4,ドラン シールド,フロストファング,チャージ回復時間,：10秒,12秒
patch13.4,ドラン シールド,真なる氷のかけら,マナ自動回復増加量,：115%,100%
patch13.4,ドラン シールド,鋼のショルダーガード,基本体力自動回復,：25%,50%
patch13.4,ドラン シールド,ルーン鋼の肩当て,基本体力自動回復,：50%,75%
patch13.5,ユーミ,基本ステータス,レベルアップごとの体力,：84,69
patch13.5,ユーミ,基本ステータス,基本マナ,：400,440
patch13.5,ユーミ,固有スキル - ネコはトモダチ,基本物理防御,,NEW基本物理防御：スキルか通常攻撃でチャンピオンに影響を与えると、自身の体力を回復して、味方の体力を回復するチャージを獲得する。その後4秒以内にくっつくと、その味方に体力回復効果を付与する。くっついている間は、この効果が自動的に適用される。
patch13.5,ユーミ,固有スキル - ネコはトモダチ,トモダチつくろう,,NEWトモダチつくろう：くっついている間は、味方が敵チャンピオンかミニオンをキルするたびに「フレンドシップ」を築いていく。「フレンドシップ」スコアは味方ごとにカウントされる。「ベストフレンド」にくっついている間は、自身のスキルが追加効果を獲得する。
patch13.5,ユーミ,固有スキル - ネコはトモダチ,クールダウン,,クールダウン：20～10秒（チャンピオンレベル1～11）
patch13.5,ユーミ,固有スキル - ネコはトモダチ,体力回復量,,体力回復量：25～110（+魔力の15%）（チャンピオンレベル1～18）
patch13.5,ユーミ,固有スキル - ネコはトモダチ,飛びかかりの本能,,飛びかかりの本能：固有スキルが利用可能な場合、通常攻撃の射程距離が50増加する
patch13.5,ユーミ,Q - きまぐれミサイル,スキルの詳細,,スキルの詳細：ミサイルを発射する。ミサイルは最初に命中した敵にスロウ効果を与える。くっついている間に発動すると、少しの間ミサイルを操作することができる。その後ミサイルは強化されて大きく加速し、敵に与えるスロウ効果が増加する。
